"","sex","geography_name","geography_id","year","ub_weighted_median"
"531","Hombre","Hualqui",107,2013,300407
"532","Hombre","Hualqui",107,2014,370882
"533","Hombre","Hualqui",107,2015,424587
"534","Hombre","Huara",108,2010,150147
"535","Hombre","Huara",108,2011,199585
"536","Hombre","Huara",108,2012,150677
"537","Hombre","Huara",108,2013,348678
"538","Hombre","Huara",108,2014,464794
"539","Hombre","Huara",108,2015,702852
"540","Hombre","Huasco",109,2010,337910
"541","Hombre","Huasco",109,2011,301450
"542","Hombre","Huasco",109,2012,435434
"543","Hombre","Huasco",109,2013,363915
"544","Hombre","Huasco",109,2014,399206
"545","Hombre","Huasco",109,2015,540613
"546","Hombre","Huechuraba",110,2010,324336
"547","Hombre","Huechuraba",110,2011,432078
"548","Hombre","Huechuraba",110,2012,452529
"549","Hombre","Huechuraba",110,2013,495227
"550","Hombre","Huechuraba",110,2014,645616
"551","Hombre","Huechuraba",110,2015,527882
"552","Hombre","Illapel",111,2010,236208
"553","Hombre","Illapel",111,2011,270000
"554","Hombre","Illapel",111,2012,299429
"555","Hombre","Illapel",111,2013,367166
"556","Hombre","Illapel",111,2014,399925
"557","Hombre","Illapel",111,2015,500135
"558","Hombre","Independencia",112,2010,523614
"559","Hombre","Independencia",112,2011,453818
"560","Hombre","Independencia",112,2012,502811
"561","Hombre","Independencia",112,2013,503093
"562","Hombre","Independencia",112,2014,455000
"563","Hombre","Independencia",112,2015,560000
"564","Hombre","Iquique",113,2010,380243
"565","Hombre","Iquique",113,2011,428626
"566","Hombre","Iquique",113,2012,500000
"567","Hombre","Iquique",113,2013,500678
"568","Hombre","Iquique",113,2014,599887
"569","Hombre","Iquique",113,2015,510831
"570","Hombre","Isla de Maipo",114,2010,203554
"571","Hombre","Isla de Maipo",114,2011,219831
"572","Hombre","Isla de Maipo",114,2012,301353
"573","Hombre","Isla de Maipo",114,2013,314337
"574","Hombre","Isla de Maipo",114,2014,350216
"575","Hombre","Isla de Maipo",114,2015,357525
"576","Hombre","La Cisterna",117,2010,777034
"577","Hombre","La Cisterna",117,2011,442127
"578","Hombre","La Cisterna",117,2012,447258
"579","Hombre","La Cisterna",117,2013,586365
"580","Hombre","La Cisterna",117,2014,676000
"581","Hombre","La Cisterna",117,2015,518072
"582","Hombre","La Cruz",118,2010,545676
"583","Hombre","La Cruz",118,2011,449466
"584","Hombre","La Cruz",118,2012,728407
"585","Hombre","La Cruz",118,2013,600000
"586","Hombre","La Cruz",118,2014,518949
"587","Hombre","La Cruz",118,2015,532458
"588","Hombre","La Estrella",119,2010,236218
"589","Hombre","La Estrella",119,2011,222000
"590","Hombre","La Estrella",119,2012,251308
"591","Hombre","La Estrella",119,2013,300000
"592","Hombre","La Estrella",119,2014,336107
"593","Hombre","La Estrella",119,2015,341415
"594","Hombre","La Florida",120,2010,350343
"595","Hombre","La Florida",120,2011,399574
"596","Hombre","La Florida",120,2012,410971
"597","Hombre","La Florida",120,2013,519997
"598","Hombre","La Florida",120,2014,599940
"599","Hombre","La Florida",120,2015,560152
"600","Hombre","La Granja",121,2010,300000
"601","Hombre","La Granja",121,2011,283199
"602","Hombre","La Granja",121,2012,301353
"603","Hombre","La Granja",121,2013,429006
"604","Hombre","La Granja",121,2014,401697
"605","Hombre","La Granja",121,2015,408039
"606","Hombre","La Higuera",122,2010,349761
"607","Hombre","La Higuera",122,2011,299041
"608","Hombre","La Higuera",122,2012,301353
"609","Hombre","La Higuera",122,2013,300000
"610","Hombre","La Higuera",122,2014,415000
"611","Hombre","La Higuera",122,2015,283500
"612","Hombre","La Ligua",123,2010,200152
"613","Hombre","La Ligua",123,2011,321758
"614","Hombre","La Ligua",123,2012,300078
"615","Hombre","La Ligua",123,2013,299897
"616","Hombre","La Ligua",123,2014,303127
"617","Hombre","La Ligua",123,2015,360069
"618","Hombre","La Pintana",124,2010,249829
"619","Hombre","La Pintana",124,2011,250000
"620","Hombre","La Pintana",124,2012,355131
"621","Hombre","La Pintana",124,2013,300144
"622","Hombre","La Pintana",124,2014,349934
"623","Hombre","La Pintana",124,2015,400000
"624","Hombre","La Reina",125,2010,1345635
"625","Hombre","La Reina",125,2011,1003904
"626","Hombre","La Reina",125,2012,2510881
"627","Hombre","La Reina",125,2013,1502033
"628","Hombre","La Reina",125,2014,1254217
"629","Hombre","La Reina",125,2015,1031185
"630","Hombre","La Serena",126,2010,400000
"631","Hombre","La Serena",126,2011,400000
