"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"242","provincia","Arauco","p82","1994","Mujer",85522,55692,"[78143, 95731]","[53550, 64260]"
"243","provincia","Arica","p151","1994","Mujer",160775,90780,"[130767, 204886]","[78806, 105430]"
"244","provincia","Aysén","p112","1994","Mujer",111659,64260,"[85775, 143860]","[58940, 77057]"
"245","provincia","Bíobío","p83","1994","Mujer",90269,60367,"[79730, 100005]","[55692, 65331]"
"246","provincia","Cachapoal","p61","1994","Mujer",100904,69659,"[92290, 109689]","[64260, 74970]"
"247","provincia","Cardenal Caro","p62","1994","Mujer",68141,54621,"[52354, 87765]","[42840, 84609]"
"248","provincia","Cauquenes","p72","1994","Mujer",82100,60520,"[63945, 95120]","[44982, 71276]"
"249","provincia","Cautín","p91","1994","Mujer",111137,64260,"[93974, 134037]","[58486, 74970]"
"250","provincia","Chacabuco","p133","1994","Mujer",87709,64260,"[75993, 104050]","[64260, 74970]"
"251","provincia","Chañaral","p32","1994","Mujer",91942,75325,"[78005, 103070]","[64260, 106105]"
"252","provincia","Chiloé","p102","1994","Mujer",126957,63709,"[84585, 184574]","[53550, 94798]"
"253","provincia","Choapa","p42","1994","Mujer",94466,59976,"[72371, 126038]","[55692, 71855]"
"254","provincia","Colchagua","p63","1994","Mujer",85000,64260,"[71059, 103977]","[57834, 69615]"
"255","provincia","Concepción","p81","1994","Mujer",122179,74970,"[108589, 143440]","[69615, 80322]"
"256","provincia","Copiapó","p31","1994","Mujer",101256,74970,"[85417, 117863]","[62296, 76299]"
"257","provincia","Cordillera","p152","1994","Mujer",170574,85680,"[120695, 246360]","[80325, 98106]"
"258","provincia","Coyhaique","p111","1994","Mujer",116177,72095,"[99318, 138939]","[64260, 85680]"
"259","provincia","Curicó","p73","1994","Mujer",92937,57834,"[73726, 134016]","[55692, 64260]"
"260","provincia","El Loa","p22","1994","Mujer",101677,74970,"[87878, 114726]","[63662, 85680]"
"261","provincia","Elqui","p41","1994","Mujer",83729,62165,"[76915, 91933]","[58974, 64260]"
"262","provincia","Huasco","p33","1994","Mujer",99236,69615,"[88113, 118076]","[55692, 88893]"
"263","provincia","Iquique","p11","1994","Mujer",120870,90780,"[104472, 138130]","[83101, 100297]"
"264","provincia","Limarí","p43","1994","Mujer",76174,59976,"[67096, 84967]","[53237, 64260]"
"265","provincia","Linares","p74","1994","Mujer",80658,55692,"[72428, 90143]","[55692, 60520]"
"266","provincia","Llanquihue","p101","1994","Mujer",142557,64260,"[102650, 203482]","[57536, 76012]"
"267","provincia","Los Andes","p53","1994","Mujer",90299,64260,"[82075, 99854]","[64260, 74970]"
"268","provincia","Magallanes","p121","1994","Mujer",134302,105910,"[113712, 155083]","[85680, 110474]"
"269","provincia","Maipo","p134","1994","Mujer",151064,90780,"[128360, 182719]","[75661, 104602]"
"270","provincia","Malleco","p92","1994","Mujer",144996,72293,"[102300, 193647]","[58905, 88978]"
"271","provincia","Marga Marga","p58","1994","Mujer",104461,72779,"[89709, 121681]","[64260, 85680]"
