"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"203","region","Arica y Parinacota","15","Hombre","Entre 11 y 49",2014,390789.304293632,324484.385749736,"[326869, 455335]","[273261, 382996]"
"204","region","Arica y Parinacota","15","Hombre","Entre 11 y 49",2015,446635.104660961,321747.755971312,"[354053, 571669]","[253176, 393391]"
"205","region","Atacama","3","Hombre","Entre 11 y 49",2010,321024.607988794,280158.571187451,"[276420, 385864]","[250000, 316194]"
"206","region","Atacama","3","Hombre","Entre 11 y 49",2011,424271.862941237,255144.421751857,"[300579, 673830]","[227645, 317792]"
"207","region","Atacama","3","Hombre","Entre 11 y 49",2012,422358.152133782,351578.608247422,"[366873, 490997]","[295779, 405000]"
"208","region","Atacama","3","Hombre","Entre 11 y 49",2013,433940.347285398,350000,"[360683, 503518]","[300000, 439998]"
"209","region","Atacama","3","Hombre","Entre 11 y 49",2014,437728.404823409,379991.387405337,"[370067, 520009]","[324229, 400000]"
"210","region","Atacama","3","Hombre","Entre 11 y 49",2015,483863.46198701,340092.007937941,"[378134, 667134]","[311263, 397456]"
"211","region","Aysén","11","Hombre","Entre 11 y 49",2010,281264.729380327,205875.60669242,"[243937, 340844]","[200000, 278595]"
"212","region","Aysén","11","Hombre","Entre 11 y 49",2011,481895.394792738,349711.134208423,"[384196, 616094]","[294897, 409102]"
