"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"204","pais","País","pais","2013","Hombre","Operadores y Montadores de Instalaciones y Máquinas",382987,3e+05,"[378387, 387661]","[3e+05, 3e+05]"
"205","pais","País","pais","2013","Hombre","Profesionales, Científicos e Intelectuales",1108240,8e+05,"[1071411, 1156483]","[8e+05, 850000]"
"206","pais","País","pais","2013","Hombre","Técnicos y Profesionales de Nivel Medio",615140,480000,"[593197, 635768]","[450000, 5e+05]"
"207","pais","País","pais","2013","Hombre","Trabajadores Agropecuarios y Pesqueros",224853,2e+05,"[218638, 232095]","[2e+05, 210000]"
"208","pais","País","pais","2013","Hombre","Trabajadores de Artes Mecánicas y Otros",336094,280000,"[331574, 341174]","[280000, 285562]"
"209","pais","País","pais","2013","Hombre","Trabajadores de Servicios y Vendedores",329851,250000,"[320901, 339994]","[250000, 250000]"
"210","pais","País","pais","2013","Hombre","Trabajadores No Calificados",231698,210000,"[228270, 235078]","[210000, 210000]"
"211","pais","País","pais","2013","Mujer","Empleados de Oficina",303803,256000,"[298796, 308483]","[250000, 264688]"
"212","pais","País","pais","2013","Mujer","Fuerzas Armadas",422768,370000,"[343044, 533738]","[314250, 456250]"
"213","pais","País","pais","2013","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",413275,250000,"[391018, 438860]","[239500, 250000]"
"214","pais","País","pais","2013","Mujer","Operadores y Montadores de Instalaciones y Máquinas",269029,220000,"[252902, 288734]","[210000, 230000]"
