"","geography_level","geography_name","geography_id","year","occupation","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"247","pais","País","pais","2011","3421","Mujer",508183,484344,"[250526, 823349]","[207860, 866345]"
"248","pais","País","pais","2011","3422","Hombre",331697,289408,"[273500, 518377]","[273500, 525120]"
"249","pais","País","pais","2011","3422","Mujer",448155,447641,"[317591, 547000]","[310373, 547000]"
"250","pais","País","pais","2011","3423","Hombre",687204,548753,"[422316, 1261189]","[410800, 626384]"
"251","pais","País","pais","2011","3423","Mujer",451627,321161,"[279064, 768453]","[273500, 664141]"
"252","pais","País","pais","2011","3429","Hombre",436841,266886,"[223037, 719152]","[196920, 977020]"
"253","pais","País","pais","2011","3429","Mujer",203357,109400,"[104613, 300508]","[53777, 328200]"
"254","pais","País","pais","2011","3431","Hombre",640939,492300,"[543430, 785818]","[409800, 547000]"
"255","pais","País","pais","2011","3431","Mujer",496263,328200,"[417185, 585570]","[328200, 384145]"
"256","pais","País","pais","2011","3432","Hombre",435949,291074,"[274575, 724527]","[218800, 587905]"
"257","pais","País","pais","2011","3432","Mujer",447821,437600,"[351710, 585192]","[267477, 464714]"
"258","pais","País","pais","2011","3433","Hombre",464689,386726,"[390901, 566009]","[328200, 513500]"
"259","pais","País","pais","2011","3433","Mujer",425603,382900,"[353961, 489050]","[297826, 448866]"
"260","pais","País","pais","2011","3434","Hombre",183709,169625,"[54700, 658464]","[54700, 648505]"
"261","pais","País","pais","2011","3439","Hombre",535710,473940,"[442908, 676599]","[328200, 547000]"
"262","pais","País","pais","2011","3439","Mujer",487221,372016,"[391634, 666559]","[295380, 382900]"
"263","pais","País","pais","2011","3441","Hombre",498037,547000,"[391402, 685676]","[305651, 576809]"
"264","pais","País","pais","2011","3441","Mujer",304079,303183,"[220228, 383926]","[222774, 410800]"
"265","pais","País","pais","2011","3442","Hombre",625159,492300,"[424473, 1594243]","[435391, 987550]"
"266","pais","País","pais","2011","3442","Mujer",550778,386914,"[285012, 831629]","[168779, 1027000]"
"267","pais","País","pais","2011","3443","Hombre",1094000,1094000,"[1094000, 1094000]","[1094000, 1094000]"
"268","pais","País","pais","2011","3444","Hombre",1081139,928490,"[559880, 1508181]","[437600, 1641000]"
"269","pais","País","pais","2011","3444","Mujer",1138107,1281598,"[383783, 1312800]","[264439, 1312800]"
"270","pais","País","pais","2011","3449","Hombre",502538,328200,"[320600, 746529]","[273500, 547000]"
