year,comuna_datachile_id,felony_id,cases
2015,46,9,52
2015,46,10,43
2015,46,11,16
2015,46,12,27
2015,46,13,0
2015,46,14,3
2016,46,1,3
2016,46,2,1
2016,46,3,39
2016,46,4,4
2016,46,5,2
2016,46,6,19
2016,46,7,12
2016,46,8,2
2016,46,9,67
2016,46,10,48
2016,46,11,8
2016,46,12,40
2016,46,13,0
2016,46,14,0
2005,47,1,4
2005,47,2,0
2005,47,3,47
2005,47,4,0
2005,47,5,7
2005,47,6,20
2005,47,7,19
2005,47,8,1
2005,47,9,38
2005,47,10,69
2005,47,11,12
2005,47,12,57
2005,47,13,0
2005,47,14,0
2006,47,1,7
2006,47,2,0
2006,47,3,45
2006,47,4,0
2006,47,5,2
2006,47,6,17
2006,47,7,22
2006,47,8,4
2006,47,9,52
2006,47,10,70
2006,47,11,19
2006,47,12,51
2006,47,13,0
2006,47,14,0
2007,47,1,7
2007,47,2,0
2007,47,3,31
2007,47,4,0
2007,47,5,2
2007,47,6,23
2007,47,7,5
2007,47,8,1
2007,47,9,22
2007,47,10,42
2007,47,11,11
2007,47,12,31
2007,47,13,1
2007,47,14,1
2008,47,1,13
2008,47,2,1
2008,47,3,69
2008,47,4,0
2008,47,5,7
2008,47,6,22
2008,47,7,39
2008,47,8,1
2008,47,9,50
2008,47,10,61
2008,47,11,10
2008,47,12,51
2008,47,13,0
2008,47,14,1
2009,47,1,10
2009,47,2,4
2009,47,3,97
2009,47,4,3
2009,47,5,15
2009,47,6,41
2009,47,7,34
