"","reply_ratio_2015","available_2013","available_2011","available_2009","available_2006","available_2003","available_2000","available_1998","available_1996","available_1994","available_1992","available_1990"
"r7g",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7h",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7i",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7j",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7k",0.3125,0,0,0,0,0,0,0,0,0,0,0
"r8a",0.3142,0,0,0,0,1,0,0,0,0,0,0
"r8b",0.3142,0,0,0,0,1,0,0,0,0,0,0
"r8c",0.3142,0,0,0,0,1,0,0,0,0,0,0
"r8d",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8e",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8f",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8g",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8h",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8i",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8j",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8k",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8l",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r8m",0.3142,0,0,0,0,0,0,0,0,0,0,0
